Taxa;correction;Taxa.new;Specimen number from Racicot et al 2019;outer ear;inner ear;safe;risky;dangerous
Platanista gangelica;Platanista gangetica;Platanista gangetica;;Yes;;;;
Inia geoffrensis;Inia geoffrensis;Inia geoffrensis;MNHN uncatalogued;Yes;Yes;;;
Lipotes vexillifer;Lipotes vexillifer;Lipotes vexillifer;;Yes;Yes;;;
Pontoporia blainvillei;Pontoporia blainvillei;Pontoporia blainvillei;AMNH 254554;Yes;Yes;;;
Neophocaena phocaenoides;Neophocaena phocaenoides;Neophocaena phocaenoides;;Yes;;;;
Phocoena ph. vomerina;subspecies of Phocoena phocoena;Phocoena phocoena;;Yes;;;;
Phocoena ph. phocoena;subspecies of Phocoena phocoena;;;Yes;"Yes (w\\o ""ph"")";;;
Phocoena sinus;Phocoena sinus;Phocoena sinus;;Yes;;;;
Phocoenoides dalli;Phocoenoides dalli;Phocoenoides dalli;;Yes;Yes;;;
Phocoenoides truei;subspecies of Phocoenoides dalli;;;Yes;;;;
Delphinus bairdi;subspecies of Delphinus delphis;Delphinus delphis;;Yes;;;;
Delphinus delphi;Delphinus delphis;;;Yes;;;;
Lagenorhynchus obliquidens;Sagmatias;Sagmatias;;Yes;;;;
Lagenorhynchus acutus;Leucoplerus;Leucopleurus acutus;;Yes;Yes;;;
Lagenorhynchus albirostris;Lagenorhynchus albirostris;Lagenorhynchus albirostris;;Yes;;;;
Lagenorhynchus obscurus;Sagmatias;;;Yes;;;;
Lagenorhynchus australis;Sagmatias;;;Yes;;;;
Steno bredanesis;Steno bredanesis;Steno bredanesis;;Yes;;;;
Lissodelphis borealis;Lissodelphis borealis;Lissodelphis borealis;;Yes;;;;
Stenella caeruleoalba;Stenella coeruleoalba;Stenella coeruleoalba;;Yes;;;;
Stenella styx;invalid synonym of S coeruleoalba;;;Yes;;;;
Stenella roseiventris;subspecies of Stenella longirostris;;;Yes;;;;
Stenella longirostris;Stenella longirostris;Stenella longirostris;;Yes;;;;
Stenella attenuata;Stenella attenuata;Stenella attenuata;;Yes;;;;
Stenella graffmani;subspecies of Stenella attenuata;;;Yes;;;;
Stenella plagiodon;invalid synonym of Stenella frontalis;Stenella frontalis;;Yes;;;;
Tursiops truncatus;Tursiops truncatus;Tursiops truncatus;;Yes;Yes;;;
Tursiops gilli;invalid subspecies name of T truncatus;;;Yes;;;;
Cephalorhynchus (spp);genus;Cephalorhynchus;;Yes;;;;
Cephalorhynchus commersonii;Cephalorhynchus commersonii;Cephalorhynchus commersonii;;;Yes;;;
Sotalia (spp);genus;Sotalia;;Yes;;;;
Sousa teuszii;Sousa teuszii;Sousa teuszii;;Yes;;;;
Pseudorca crassidens;Pseudorca crassidens;Pseudorca crassidens;;Yes;;;;
Orcinus orca;Orcinus orca;Orcinus orca;;Yes;Yes;;;
Peponocephala elctra;Peponocephala electra;Peponocephala electra;;Yes;;;;
Feresa attenuata;Feresa attenuata;Feresa attenuata;;Yes;;;;
